,Date,Temperature_F,Humidity_%,Pressure_in,Precip_Rate_in,UV_Index,Calories_Burned,Steps,Distance,Floors,Minutes_Sedentary,Minutes_Lightly_Active,Minutes_Fairly_Active,Minutes_Very_Active,Activity_Calories
0,2022-01-01,55,98,30,0,0,1982,2093,0.94,0,682,131,0,0,448
11,2022-01-02,35,95,30,0,0,2237,5612,2.52,1,684,231,0,0,818
21,2022-01-03,27,80,30,0,0,2286,7615,3.59,9,741,168,37,8,824
24,2022-01-04,31,80,30,0,0,2018,2639,1.19,1,955,140,0,0,487
25,2022-01-05,40,66,30,0,0,2018,2697,1.21,1,669,156,0,0,512
26,2022-01-06,19,78,30,0,0,1904,1905,0.86,0,836,112,0,0,383
27,2022-01-07,14,82,30,0,0,2125,3951,1.78,2,669,198,0,0,660
28,2022-01-08,25,76,30,0,0,1968,2738,1.23,2,575,151,0,0,484
29,2022-01-09,37,85,30,0,0,2320,5280,2.36,0,724,280,0,0,945
1,2022-01-10,23,69,30,0,0,2049,2928,1.32,1,701,163,0,0,562
2,2022-01-11,23,67,30,0,0,1953,2579,1.16,0,626,138,0,0,454
3,2022-01-12,39,61,30,0,0,2210,4094,1.84,1,800,215,0,0,746
4,2022-01-13,40,76,30,0,0,1996,2741,1.23,0,848,141,0,0,480
5,2022-01-14,33,91,30,0,0,2105,2590,1.17,1,836,151,13,1,609
6,2022-01-15,28,80,30,0,0,2357,5430,2.43,1,820,251,0,0,938
7,2022-01-16,26,81,30,0,0,2470,5982,2.64,3,616,283,9,0,1109
8,2022-01-17,26,85,30,0,0,2159,4556,2.05,2,787,198,5,0,720
9,2022-01-18,31,80,30,0,0,2076,3381,1.52,0,795,181,0,0,600
10,2022-01-19,41,77,30,0,0,2040,2512,1.13,1,766,142,0,0,517
12,2022-01-20,24,65,30,0,0,2111,3499,1.57,0,921,158,8,6,621
13,2022-01-21,19,71,30,0,0,1816,1286,0.58,0,438,75,0,0,255
14,2022-01-22,20,73,30,0,0,1790,1172,0.53,0,810,65,0,0,224
15,2022-01-24,29,87,30,0,0,2258,4767,2.13,0,669,202,11,0,815
16,2022-01-25,25,76,30,0,0,2045,3112,1.4,0,842,169,0,0,553
17,2022-01-26,14,66,30,0,0,1920,1942,0.87,1,906,114,0,0,359
18,2022-01-27,23,74,30,0,0,1874,2448,1.07,0,986,59,16,2,313
19,2022-01-28,25,94,30,0,0,1900,1975,0.89,0,617,123,0,0,384
20,2022-01-29,16,76,30,0,0,1873,1744,0.78,0,256,101,0,0,324
22,2022-01-30,27,71,30,0,0,1743,1015,0.46,0,869,47,0,0,156
23,2022-01-31,30,74,30,0,0,2070,3694,1.62,1,570,162,0,0,568
110,2022-02-01,43,63,30,0,0,2353,7300,3.22,0,763,214,16,2,906
118,2022-02-02,43,86,30,0,0,2092,3111,1.4,1,739,133,9,6,582
128,2022-02-03,37,95,30,0,0,1665,1487,0.67,0,1425,15,0,0,55
129,2022-02-05,18,87,30,0,0,1858,1881,0.85,0,1173,86,0,0,296
130,2022-02-06,24,82,30,0,1,2316,3751,1.68,1,741,213,0,0,842
131,2022-02-07,31,76,30,0,1,2211,3334,1.48,1,897,192,8,1,750
132,2022-02-08,30,76,30,0,0,1967,2205,0.99,3,900,139,0,0,442
133,2022-02-09,43,64,30,0,0,2196,3575,1.61,4,776,210,0,0,757
111,2022-02-10,38,71,30,0,1,2243,3280,1.48,0,691,193,15,1,790
112,2022-02-12,31,83,30,0,0,1931,2595,1.17,1,1178,123,0,0,420
113,2022-02-13,22,74,30,0,1,2014,3138,1.41,4,524,159,0,0,523
114,2022-02-14,21,76,30,0,1,1944,2332,1.05,3,726,106,0,0,386
115,2022-02-15,34,67,30,0,1,2300,5641,2.33,2,721,115,9,34,792
116,2022-02-16,54,56,30,0,0,2340,4913,2.21,2,631,172,43,4,915
117,2022-02-19,29,59,30,0,1,2231,5457,2.45,3,1125,209,0,0,783
119,2022-02-20,39,56,30,0,1,2075,3482,1.57,1,559,182,0,0,605
120,2022-02-21,52,55,30,0,0,2285,6363,3.08,16,814,113,15,31,791
121,2022-02-22,56,94,30,0,0,1688,1839,0.83,0,1150,10,11,0,82
122,2022-02-23,32,88,30,0,0,1984,2250,1.01,0,1200,120,0,0,427
123,2022-02-24,32,91,30,0,0,2064,3289,1.48,3,824,158,0,0,551
124,2022-02-25,31,88,30,0,0,2191,4744,2.12,5,428,196,0,0,716
125,2022-02-26,30,81,30,0,0,1993,2876,1.29,0,514,129,0,0,465
126,2022-02-27,34,69,30,0,1,1991,2639,1.19,1,389,138,0,0,475
127,2022-02-28,39,68,30,0,1,2128,3767,1.69,1,584,179,0,0,641
134,2022-03-01,51,51,30,0,1,1874,2903,1.3,0,874,53,20,3,307
138,2022-03-02,55,59,30,0,1,1989,1840,0.83,1,889,111,8,0,428
146,2022-03-03,43,68,30,0,0,2163,4513,2.02,5,935,190,8,4,704
148,2022-03-04,41,56,30,0,1,1982,3313,1.49,2,716,135,5,0,492
149,2022-03-05,61,46,30,0,1,1984,2975,1.34,0,691,159,0,0,510
150,2022-03-07,49,92,30,0,0,2313,6985,2.45,1,793,163,8,26,840
151,2022-03-08,37,76,30,0,0,2061,2958,1.33,1,807,157,0,0,542
152,2022-03-09,40,81,30,0,1,1808,1180,0.53,0,1095,70,0,0,234
135,2022-03-17,58,69,30,0,1,2059,2727,1.23,3,1275,165,0,0,541
136,2022-03-18,57,81,30,0,0,2073,3470,1.54,3,756,144,0,0,520
137,2022-03-19,48,90,30,0,0,2118,3365,1.43,1,938,165,0,0,600
